"codi","idProcediment","seu_codi_title_ok","seu_link_app","seu_err_msg","app_codi_ok","app_err_msg"
"CFCGA1/001","90659","False","","Message: 
","True",""
"CFCGC1/002","0","True","","","True",""
"CFCGC2/003","0","True","","","True",""
"CFCEA1/004","90797","False","","Message: 
","True",""
"CFCEA1/005","90922","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/29","","True",""
"CFCEA1/006","90936","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/49","","True",""
"CFCEA1/007","91047","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/50","","True",""
"CFCEA1/008","90956","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/65","","True",""
"CFCEA1/009","91373","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/66","","True",""
"CFCEA1/010","90864","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/28","","True",""
"CFCEA1/011","91349","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/38","","True",""
"CFCEA1/012","91419","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/53","","True",""
"CFCEA1/013","91320","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/37","","True",""
"CFCEA1/014","91303","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/36","","True",""
"CFCEA1/015","91098","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/51","","True",""
"CFCEA1/016","91038","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/30","","True",""
"CFCEA1/017","91153","False","","Message: timeout: Timed out receiving message from renderer: 299.618
  (Session info: headless chrome=108.0.5359.98)
Stacktrace:
#0 0x56508afc62a3 <unknown>
#1 0x56508ad84f77 <unknown>
#2 0x56508ad6f4e9 <unknown>
#3 0x56508ad6f225 <unknown>
#4 0x56508ad6ddc6 <unknown>
#5 0x56508ad6e3a8 <unknown>
#6 0x56508ad7b72f <unknown>
#7 0x56508ad7c382 <unknown>
#8 0x56508ad8d390 <unknown>
#9 0x56508ad9171b <unknown>
#10 0x56508ad6e965 <unknown>
#11 0x56508ad8d13f <unknown>
#12 0x56508adf9690 <unknown>
#13 0x56508ade1903 <unknown>
#14 0x56508adb4ece <unknown>
#15 0x56508adb5fde <unknown>
#16 0x56508b01663e <unknown>
#17 0x56508b019b79 <unknown>
#18 0x56508affc89e <unknown>
#19 0x56508b01aa83 <unknown>
#20 0x56508afef505 <unknown>
#21 0x56508b03bca8 <unknown>
#22 0x56508b03be36 <unknown>
#23 0x56508b057333 <unknown>
#24 0x7f97be2dd609 start_thread
","True",""
"CFCEA1/018","91171","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/32","","True",""
"CFCEA1/019","91201","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/52","","True",""
"CFCEA1/020","91221","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/33","","True",""
"CFCEA1/021","91236","False","","Message: 
","True",""
"CFCEA1/022","91257","False","","Message: 
","True",""
"CFCEA2/023","91898","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/54","","True",""
